variable,variable_label_fr,code,label_fr,label_en,label_pt
AGED,Âge détaillé (en différence de millésimes),015,15 ans,,
AGED,Âge détaillé (en différence de millésimes),016,16 ans,,
AGED,Âge détaillé (en différence de millésimes),017,17 ans,,
AGED,Âge détaillé (en différence de millésimes),018,18 ans,,
AGED,Âge détaillé (en différence de millésimes),019,19 ans,,
AGED,Âge détaillé (en différence de millésimes),020,20 ans,,
AGED,Âge détaillé (en différence de millésimes),021,21 ans,,
AGED,Âge détaillé (en différence de millésimes),022,22 ans,,
AGED,Âge détaillé (en différence de millésimes),023,23 ans,,
AGED,Âge détaillé (en différence de millésimes),024,24 ans,,
AGED,Âge détaillé (en différence de millésimes),025,25 ans,,
AGED,Âge détaillé (en différence de millésimes),026,26 ans,,
AGED,Âge détaillé (en différence de millésimes),027,27 ans,,
AGED,Âge détaillé (en différence de millésimes),028,28 ans,,
AGED,Âge détaillé (en différence de millésimes),029,29 ans,,
AGED,Âge détaillé (en différence de millésimes),030,30 ans,,
AGED,Âge détaillé (en différence de millésimes),031,31 ans,,
AGED,Âge détaillé (en différence de millésimes),032,32 ans,,
AGED,Âge détaillé (en différence de millésimes),033,33 ans,,
AGED,Âge détaillé (en différence de millésimes),034,34 ans,,
AGED,Âge détaillé (en différence de millésimes),035,35 ans,,
AGED,Âge détaillé (en différence de millésimes),036,36 ans,,
AGED,Âge détaillé (en différence de millésimes),037,37 ans,,
AGED,Âge détaillé (en différence de millésimes),038,38 ans,,
AGED,Âge détaillé (en différence de millésimes),039,39 ans,,
AGED,Âge détaillé (en différence de millésimes),040,40 ans,,
AGED,Âge détaillé (en différence de millésimes),041,41 ans,,
AGED,Âge détaillé (en différence de millésimes),042,42 ans,,
AGED,Âge détaillé (en différence de millésimes),043,43 ans,,
AGED,Âge détaillé (en différence de millésimes),044,44 ans,,
AGED,Âge détaillé (en différence de millésimes),045,45 ans,,
AGED,Âge détaillé (en différence de millésimes),046,46 ans,,
AGED,Âge détaillé (en différence de millésimes),047,47 ans,,
AGED,Âge détaillé (en différence de millésimes),048,48 ans,,
AGED,Âge détaillé (en différence de millésimes),049,49 ans,,
AGED,Âge détaillé (en différence de millésimes),050,50 ans,,
AGED,Âge détaillé (en différence de millésimes),051,51 ans,,
AGED,Âge détaillé (en différence de millésimes),052,52 ans,,
AGED,Âge détaillé (en différence de millésimes),053,53 ans,,
AGED,Âge détaillé (en différence de millésimes),054,54 ans,,
AGED,Âge détaillé (en différence de millésimes),055,55 ans,,
AGED,Âge détaillé (en différence de millésimes),056,56 ans,,
AGED,Âge détaillé (en différence de millésimes),057,57 ans,,
AGED,Âge détaillé (en différence de millésimes),058,58 ans,,
AGED,Âge détaillé (en différence de millésimes),059,59 ans,,
AGED,Âge détaillé (en différence de millésimes),060,60 ans,,
AGED,Âge détaillé (en différence de millésimes),061,61 ans,,
AGED,Âge détaillé (en différence de millésimes),062,62 ans,,
AGED,Âge détaillé (en différence de millésimes),063,63 ans,,
AGED,Âge détaillé (en différence de millésimes),064,64 ans,,
AGED,Âge détaillé (en différence de millésimes),065,65 ans,,
AGED,Âge détaillé (en différence de millésimes),066,66 ans,,
AGED,Âge détaillé (en différence de millésimes),067,67 ans,,
AGED,Âge détaillé (en différence de millésimes),068,68 ans,,
AGED,Âge détaillé (en différence de millésimes),069,69 ans,,
AGED,Âge détaillé (en différence de millésimes),070,70 ans,,
AGED,Âge détaillé (en différence de millésimes),071,71 ans,,
AGED,Âge détaillé (en différence de millésimes),072,72 ans,,
AGED,Âge détaillé (en différence de millésimes),073,73 ans,,
AGED,Âge détaillé (en différence de millésimes),074,74 ans,,
AGED,Âge détaillé (en différence de millésimes),075,75 ans,,
AGED,Âge détaillé (en différence de millésimes),076,76 ans,,
AGED,Âge détaillé (en différence de millésimes),077,77 ans,,
AGED,Âge détaillé (en différence de millésimes),078,78 ans,,
AGED,Âge détaillé (en différence de millésimes),079,79 ans,,
AGED,Âge détaillé (en différence de millésimes),080,80 ans,,
AGED,Âge détaillé (en différence de millésimes),081,81 ans,,
AGED,Âge détaillé (en différence de millésimes),082,82 ans,,
AGED,Âge détaillé (en différence de millésimes),083,83 ans,,
AGED,Âge détaillé (en différence de millésimes),084,84 ans,,
AGED,Âge détaillé (en différence de millésimes),085,85 ans,,
AGED,Âge détaillé (en différence de millésimes),086,86 ans,,
AGED,Âge détaillé (en différence de millésimes),087,87 ans,,
AGED,Âge détaillé (en différence de millésimes),088,88 ans,,
AGED,Âge détaillé (en différence de millésimes),089,89 ans,,
AGED,Âge détaillé (en différence de millésimes),090,90 ans,,
AGED,Âge détaillé (en différence de millésimes),091,91 ans,,
AGED,Âge détaillé (en différence de millésimes),092,92 ans,,
AGED,Âge détaillé (en différence de millésimes),093,93 ans,,
AGED,Âge détaillé (en différence de millésimes),094,94 ans,,
AGED,Âge détaillé (en différence de millésimes),095,95 ans,,
AGED,Âge détaillé (en différence de millésimes),096,96 ans,,
AGED,Âge détaillé (en différence de millésimes),097,97 ans,,
AGED,Âge détaillé (en différence de millésimes),098,98 ans,,
AGED,Âge détaillé (en différence de millésimes),099,99 ans,,
AGED,Âge détaillé (en différence de millésimes),100,100 ans,,
AGED,Âge détaillé (en différence de millésimes),101,101 ans,,
AGED,Âge détaillé (en différence de millésimes),102,102 ans,,
AGED,Âge détaillé (en différence de millésimes),103,103 ans,,
AGED,Âge détaillé (en différence de millésimes),104,104 ans,,
AGED,Âge détaillé (en différence de millésimes),105,105 ans,,
AGED,Âge détaillé (en différence de millésimes),106,106 ans,,
AGED,Âge détaillé (en différence de millésimes),107,107 ans,,
AGED,Âge détaillé (en différence de millésimes),108,108 ans,,
AGED,Âge détaillé (en différence de millésimes),111,111 ans,,
AGED,Âge détaillé (en différence de millésimes),112,112 ans,,
AGED,Âge détaillé (en différence de millésimes),115,115 ans,,
AGEREV,Âge en années révolues détaillé,015,15 ans,,
AGEREV,Âge en années révolues détaillé,016,16 ans,,
AGEREV,Âge en années révolues détaillé,017,17 ans,,
AGEREV,Âge en années révolues détaillé,018,18 ans,,
AGEREV,Âge en années révolues détaillé,019,19 ans,,
AGEREV,Âge en années révolues détaillé,020,20 ans,,
AGEREV,Âge en années révolues détaillé,021,21 ans,,
AGEREV,Âge en années révolues détaillé,022,22 ans,,
AGEREV,Âge en années révolues détaillé,023,23 ans,,
AGEREV,Âge en années révolues détaillé,024,24 ans,,
AGEREV,Âge en années révolues détaillé,025,25 ans,,
AGEREV,Âge en années révolues détaillé,026,26 ans,,
AGEREV,Âge en années révolues détaillé,027,27 ans,,
AGEREV,Âge en années révolues détaillé,028,28 ans,,
AGEREV,Âge en années révolues détaillé,029,29 ans,,
AGEREV,Âge en années révolues détaillé,030,30 ans,,
AGEREV,Âge en années révolues détaillé,031,31 ans,,
AGEREV,Âge en années révolues détaillé,032,32 ans,,
AGEREV,Âge en années révolues détaillé,033,33 ans,,
AGEREV,Âge en années révolues détaillé,034,34 ans,,
AGEREV,Âge en années révolues détaillé,035,35 ans,,
AGEREV,Âge en années révolues détaillé,036,36 ans,,
AGEREV,Âge en années révolues détaillé,037,37 ans,,
AGEREV,Âge en années révolues détaillé,038,38 ans,,
AGEREV,Âge en années révolues détaillé,039,39 ans,,
AGEREV,Âge en années révolues détaillé,040,40 ans,,
AGEREV,Âge en années révolues détaillé,041,41 ans,,
AGEREV,Âge en années révolues détaillé,042,42 ans,,
AGEREV,Âge en années révolues détaillé,043,43 ans,,
AGEREV,Âge en années révolues détaillé,044,44 ans,,
AGEREV,Âge en années révolues détaillé,045,45 ans,,
AGEREV,Âge en années révolues détaillé,046,46 ans,,
AGEREV,Âge en années révolues détaillé,047,47 ans,,
AGEREV,Âge en années révolues détaillé,048,48 ans,,
AGEREV,Âge en années révolues détaillé,049,49 ans,,
AGEREV,Âge en années révolues détaillé,050,50 ans,,
AGEREV,Âge en années révolues détaillé,051,51 ans,,
AGEREV,Âge en années révolues détaillé,052,52 ans,,
AGEREV,Âge en années révolues détaillé,053,53 ans,,
AGEREV,Âge en années révolues détaillé,054,54 ans,,
AGEREV,Âge en années révolues détaillé,055,55 ans,,
AGEREV,Âge en années révolues détaillé,056,56 ans,,
AGEREV,Âge en années révolues détaillé,057,57 ans,,
AGEREV,Âge en années révolues détaillé,058,58 ans,,
AGEREV,Âge en années révolues détaillé,059,59 ans,,
AGEREV,Âge en années révolues détaillé,060,60 ans,,
AGEREV,Âge en années révolues détaillé,061,61 ans,,
AGEREV,Âge en années révolues détaillé,062,62 ans,,
AGEREV,Âge en années révolues détaillé,063,63 ans,,
AGEREV,Âge en années révolues détaillé,064,64 ans,,
AGEREV,Âge en années révolues détaillé,065,65 ans,,
AGEREV,Âge en années révolues détaillé,066,66 ans,,
AGEREV,Âge en années révolues détaillé,067,67 ans,,
AGEREV,Âge en années révolues détaillé,068,68 ans,,
AGEREV,Âge en années révolues détaillé,069,69 ans,,
AGEREV,Âge en années révolues détaillé,070,70 ans,,
AGEREV,Âge en années révolues détaillé,071,71 ans,,
AGEREV,Âge en années révolues détaillé,072,72 ans,,
AGEREV,Âge en années révolues détaillé,073,73 ans,,
AGEREV,Âge en années révolues détaillé,074,74 ans,,
AGEREV,Âge en années révolues détaillé,075,75 ans,,
AGEREV,Âge en années révolues détaillé,076,76 ans,,
AGEREV,Âge en années révolues détaillé,077,77 ans,,
AGEREV,Âge en années révolues détaillé,078,78 ans,,
AGEREV,Âge en années révolues détaillé,079,79 ans,,
AGEREV,Âge en années révolues détaillé,080,80 ans,,
AGEREV,Âge en années révolues détaillé,081,81 ans,,
AGEREV,Âge en années révolues détaillé,082,82 ans,,
AGEREV,Âge en années révolues détaillé,083,83 ans,,
AGEREV,Âge en années révolues détaillé,084,84 ans,,
AGEREV,Âge en années révolues détaillé,085,85 ans,,
AGEREV,Âge en années révolues détaillé,086,86 ans,,
AGEREV,Âge en années révolues détaillé,087,87 ans,,
AGEREV,Âge en années révolues détaillé,088,88 ans,,
AGEREV,Âge en années révolues détaillé,089,89 ans,,
AGEREV,Âge en années révolues détaillé,090,90 ans,,
AGEREV,Âge en années révolues détaillé,091,91 ans,,
AGEREV,Âge en années révolues détaillé,092,92 ans,,
AGEREV,Âge en années révolues détaillé,093,93 ans,,
AGEREV,Âge en années révolues détaillé,094,94 ans,,
AGEREV,Âge en années révolues détaillé,095,95 ans,,
AGEREV,Âge en années révolues détaillé,096,96 ans,,
AGEREV,Âge en années révolues détaillé,097,97 ans,,
AGEREV,Âge en années révolues détaillé,098,98 ans,,
AGEREV,Âge en années révolues détaillé,099,99 ans,,
AGEREV,Âge en années révolues détaillé,100,100 ans,,
AGEREV,Âge en années révolues détaillé,101,101 ans,,
AGEREV,Âge en années révolues détaillé,102,102 ans,,
AGEREV,Âge en années révolues détaillé,103,103 ans,,
AGEREV,Âge en années révolues détaillé,104,104 ans,,
AGEREV,Âge en années révolues détaillé,105,105 ans,,
AGEREV,Âge en années révolues détaillé,106,106 ans,,
AGEREV,Âge en années révolues détaillé,107,107 ans,,
AGEREV,Âge en années révolues détaillé,110,110 ans,,
AGEREV,Âge en années révolues détaillé,111,111 ans,,
AGEREV,Âge en années révolues détaillé,115,115 ans,,
AGEREVQ,Âge quinquennal en années révolues,015,15 à 19 ans,,
AGEREVQ,Âge quinquennal en années révolues,020,20 à 24 ans,,
AGEREVQ,Âge quinquennal en années révolues,025,25 à 29 ans,,
AGEREVQ,Âge quinquennal en années révolues,030,30 à 34 ans,,
AGEREVQ,Âge quinquennal en années révolues,035,35 à 39 ans,,
AGEREVQ,Âge quinquennal en années révolues,040,40 à 44 ans,,
AGEREVQ,Âge quinquennal en années révolues,045,45 à 49 ans,,
AGEREVQ,Âge quinquennal en années révolues,050,50 à 54 ans,,
AGEREVQ,Âge quinquennal en années révolues,055,55 à 59 ans,,
AGEREVQ,Âge quinquennal en années révolues,060,60 à 64 ans,,
AGEREVQ,Âge quinquennal en années révolues,065,65 à 69 ans,,
AGEREVQ,Âge quinquennal en années révolues,070,70 à 74 ans,,
AGEREVQ,Âge quinquennal en années révolues,075,75 à 79 ans,,
AGEREVQ,Âge quinquennal en années révolues,080,80 à 84 ans,,
AGEREVQ,Âge quinquennal en années révolues,085,85 à 89 ans,,
AGEREVQ,Âge quinquennal en années révolues,090,90 à 94 ans,,
AGEREVQ,Âge quinquennal en années révolues,095,95 à 99 ans,,
AGEREVQ,Âge quinquennal en années révolues,100,100 à 104 ans,,
AGEREVQ,Âge quinquennal en années révolues,105,105 à 109 ans,,
AGEREVQ,Âge quinquennal en années révolues,110,110 à 114 ans,,
AGEREVQ,Âge quinquennal en années révolues,115,115 à 119 ans,,
ANAI,Année de naissance,1900,Année  1900,,
ANAI,Année de naissance,1908,Année  1908,,
ANAI,Année de naissance,1910,Année  1910,,
ANAI,Année de naissance,1911,Année  1911,,
ANAI,Année de naissance,1913,Année  1913,,
ANAI,Année de naissance,1914,Année  1914,,
ANAI,Année de naissance,1916,Année  1916,,
ANAI,Année de naissance,1917,Année  1917,,
ANAI,Année de naissance,1918,Année  1918,,
ANAI,Année de naissance,1919,Année  1919,,
ANAI,Année de naissance,1920,Année  1920,,
ANAI,Année de naissance,1921,Année  1921,,
ANAI,Année de naissance,1922,Année  1922,,
ANAI,Année de naissance,1923,Année  1923,,
ANAI,Année de naissance,1924,Année  1924,,
ANAI,Année de naissance,1925,Année  1925,,
ANAI,Année de naissance,1926,Année  1926,,
ANAI,Année de naissance,1927,Année  1927,,
ANAI,Année de naissance,1928,Année  1928,,
ANAI,Année de naissance,1929,Année  1929,,
ANAI,Année de naissance,1930,Année  1930,,
ANAI,Année de naissance,1931,Année  1931,,
ANAI,Année de naissance,1932,Année  1932,,
ANAI,Année de naissance,1933,Année  1933,,
ANAI,Année de naissance,1934,Année  1934,,
ANAI,Année de naissance,1935,Année  1935,,
ANAI,Année de naissance,1936,Année  1936,,
ANAI,Année de naissance,1937,Année  1937,,
ANAI,Année de naissance,1938,Année  1938,,
ANAI,Année de naissance,1939,Année  1939,,
ANAI,Année de naissance,1940,Année  1940,,
ANAI,Année de naissance,1941,Année  1941,,
ANAI,Année de naissance,1942,Année  1942,,
ANAI,Année de naissance,1943,Année  1943,,
ANAI,Année de naissance,1944,Année  1944,,
ANAI,Année de naissance,1945,Année  1945,,
ANAI,Année de naissance,1946,Année  1946,,
ANAI,Année de naissance,1947,Année  1947,,
ANAI,Année de naissance,1948,Année  1948,,
ANAI,Année de naissance,1949,Année  1949,,
ANAI,Année de naissance,1950,Année  1950,,
ANAI,Année de naissance,1951,Année  1951,,
ANAI,Année de naissance,1952,Année  1952,,
ANAI,Année de naissance,1953,Année  1953,,
ANAI,Année de naissance,1954,Année  1954,,
ANAI,Année de naissance,1955,Année  1955,,
ANAI,Année de naissance,1956,Année  1956,,
ANAI,Année de naissance,1957,Année  1957,,
ANAI,Année de naissance,1958,Année  1958,,
ANAI,Année de naissance,1959,Année  1959,,
ANAI,Année de naissance,1960,Année  1960,,
ANAI,Année de naissance,1961,Année  1961,,
ANAI,Année de naissance,1962,Année  1962,,
ANAI,Année de naissance,1963,Année  1963,,
ANAI,Année de naissance,1964,Année  1964,,
ANAI,Année de naissance,1965,Année  1965,,
ANAI,Année de naissance,1966,Année  1966,,
ANAI,Année de naissance,1967,Année  1967,,
ANAI,Année de naissance,1968,Année  1968,,
ANAI,Année de naissance,1969,Année  1969,,
ANAI,Année de naissance,1970,Année  1970,,
ANAI,Année de naissance,1971,Année  1971,,
ANAI,Année de naissance,1972,Année  1972,,
ANAI,Année de naissance,1973,Année  1973,,
ANAI,Année de naissance,1974,Année  1974,,
ANAI,Année de naissance,1975,Année  1975,,
ANAI,Année de naissance,1976,Année  1976,,
ANAI,Année de naissance,1977,Année  1977,,
ANAI,Année de naissance,1978,Année  1978,,
ANAI,Année de naissance,1979,Année  1979,,
ANAI,Année de naissance,1980,Année  1980,,
ANAI,Année de naissance,1981,Année  1981,,
ANAI,Année de naissance,1982,Année  1982,,
ANAI,Année de naissance,1983,Année  1983,,
ANAI,Année de naissance,1984,Année  1984,,
ANAI,Année de naissance,1985,Année  1985,,
ANAI,Année de naissance,1986,Année  1986,,
ANAI,Année de naissance,1987,Année  1987,,
ANAI,Année de naissance,1988,Année  1988,,
ANAI,Année de naissance,1989,Année  1989,,
ANAI,Année de naissance,1990,Année  1990,,
ANAI,Année de naissance,1991,Année  1991,,
ANAI,Année de naissance,1992,Année  1992,,
ANAI,Année de naissance,1993,Année  1993,,
ANAI,Année de naissance,1994,Année  1994,,
ANAI,Année de naissance,1995,Année  1995,,
ANAI,Année de naissance,1996,Année  1996,,
ANAI,Année de naissance,1997,Année  1997,,
ANAI,Année de naissance,1998,Année  1998,,
ANAI,Année de naissance,1999,Année  1999,,
ANAI,Année de naissance,2000,Année  2000,,
ANAI,Année de naissance,2001,Année  2001,,
ANAI,Année de naissance,2002,Année  2002,,
ANAI,Année de naissance,2003,Année  2003,,
ANAI,Année de naissance,2004,Année  2004,,
ANAI,Année de naissance,2005,Année  2005,,
ANAI,Année de naissance,2006,Année 2006,,
ANAI,Année de naissance,2007,Année 2007,,
ANAI,Année de naissance,2008,Année 2008,,
ANAI,Année de naissance,2009,Année 2009,,
CS,Catégorie socioprofessionnelle en 29 postes,10,"Exploitants de l'agriculture, sylviculture, pêche et aquaculture",,
CS,Catégorie socioprofessionnelle en 29 postes,21,Artisans,,
CS,Catégorie socioprofessionnelle en 29 postes,22,Commerçants et assimilés,,
CS,Catégorie socioprofessionnelle en 29 postes,23,Chefs d'entreprise de plus de 10 personnes,,
CS,Catégorie socioprofessionnelle en 29 postes,31,Professions libérales,,
CS,Catégorie socioprofessionnelle en 29 postes,33,Cadres administratifs et techniques de la fonction publique,,
CS,Catégorie socioprofessionnelle en 29 postes,34,Professeurs et professions scientifiques supérieures,,
CS,Catégorie socioprofessionnelle en 29 postes,35,"Professions de l'information, de l'art et des spectacles",,
CS,Catégorie socioprofessionnelle en 29 postes,37,Cadres des services administratifs et commerciaux d'entreprise,,
CS,Catégorie socioprofessionnelle en 29 postes,38,Ingénieurs et cadres techniques d'entreprise,,
CS,Catégorie socioprofessionnelle en 29 postes,42,"Professions de l'enseignement primaire et professionnel, de la formation continue et du sport",,
CS,Catégorie socioprofessionnelle en 29 postes,43,Professions intermédiaires de la santé et du travail social,,
CS,Catégorie socioprofessionnelle en 29 postes,44,Ministres du culte et religieux consacrés,,
CS,Catégorie socioprofessionnelle en 29 postes,45,"Professions intermédiaires de la fonction publique (administration, sécurité)",,
CS,Catégorie socioprofessionnelle en 29 postes,46,Professions intermédiaires administratives et commerciales des entreprises,,
CS,Catégorie socioprofessionnelle en 29 postes,47,Techniciens,,
CS,Catégorie socioprofessionnelle en 29 postes,48,Agents de maîtrise (hors maîtrise administrative),,
CS,Catégorie socioprofessionnelle en 29 postes,52,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",,
CS,Catégorie socioprofessionnelle en 29 postes,53,"Policiers, militaires, pompiers, agents de sécurité privée",,
CS,Catégorie socioprofessionnelle en 29 postes,54,Employés administratifs d'entreprise,,
CS,Catégorie socioprofessionnelle en 29 postes,55,Employés de commerce,,
CS,Catégorie socioprofessionnelle en 29 postes,56,Personnels des services directs aux particuliers,,
CS,Catégorie socioprofessionnelle en 29 postes,62,Ouvriers qualifiés de type industriel,,
CS,Catégorie socioprofessionnelle en 29 postes,63,Ouvriers qualifiés de type artisanal,,
CS,Catégorie socioprofessionnelle en 29 postes,64,"Conducteurs de véhicules de transport, chauffeurs-livreurs, coursiers",,
CS,Catégorie socioprofessionnelle en 29 postes,65,"Conducteurs d'engins, caristes, magasiniers et ouvriers du transport (non routier)",,
CS,Catégorie socioprofessionnelle en 29 postes,67,Ouvriers peu qualifiés de type industriel,,
CS,Catégorie socioprofessionnelle en 29 postes,68,Ouvriers peu qualifiés de type artisanal,,
CS,Catégorie socioprofessionnelle en 29 postes,69,"Ouvriers agricoles, des travaux forestiers, de la pêche et de l'aquaculture",,
DIPL,Diplôme le plus élevé,01,Pas de scolarité ou arrêt avant la fin du primaire,,
DIPL,Diplôme le plus élevé,02,Aucun diplôme et scolarité interrompue à la fin du primaire ou avant la fin du collège,,
DIPL,Diplôme le plus élevé,03,Aucun diplôme et scolarité jusqu’à la fin du collège ou au-delà,,
DIPL,Diplôme le plus élevé,11,CEP (certificat d’études primaires),,
DIPL,Diplôme le plus élevé,12,"BEPC, brevet élémentaire, brevet des collèges, DNB",,
DIPL,Diplôme le plus élevé,13,"CAP, BEP ou diplôme de niveau équivalent",,
DIPL,Diplôme le plus élevé,14,"Baccalauréat général ou technologique, brevet supérieur, capacité en droit, DAEU, ESEU",,
DIPL,Diplôme le plus élevé,15,"Baccalauréat professionnel, brevet professionnel, de technicien ou d’enseignement, diplôme équivalent",,
DIPL,Diplôme le plus élevé,16,"BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme équivalent",,
DIPL,Diplôme le plus élevé,17,"Licence, licence pro, maîtrise, diplôme équivalent de niveau bac+3 ou bac+4",,
DIPL,Diplôme le plus élevé,18,"Master, DEA, DESS, diplôme grande école niveau bac+5, doctorat de santé",,
DIPL,Diplôme le plus élevé,19,Doctorat de recherche (hors santé),,
EMPL,Condition d'emploi,11,En contrat d'apprentissage ou de professionnalisation,,
EMPL,Condition d'emploi,12,Placés par une agence d'intérim,,
EMPL,Condition d'emploi,13,"Emplois aidés (contrat unique d'insertion, d'initiative emploi, d'accompagnement dans l'emploi, avenir, etc.)",,
EMPL,Condition d'emploi,14,Stagiaires rémunérés en entreprise,,
EMPL,Condition d'emploi,15,"Autres emplois à durée limitée, CDD, contrat court, saisonnier, vacataire, etc.",,
EMPL,Condition d'emploi,16,"Emplois sans limite de durée, CDI, titulaire de la fonction publique",,
EMPL,Condition d'emploi,21,Non salariés : Indépendants,,
EMPL,Condition d'emploi,22,Non salariés : Employeurs,,
EMPL,Condition d'emploi,23,Non salariés : Aides familiaux,,
GS,Groupe socioprofessionnel en 6 postes,1,Agriculteur,,
GS,Groupe socioprofessionnel en 6 postes,2,"Artisan, commerçant et chef d'entreprise",,
GS,Groupe socioprofessionnel en 6 postes,3,Cadres,,
GS,Groupe socioprofessionnel en 6 postes,4,Profession intermédiaire,,
GS,Groupe socioprofessionnel en 6 postes,5,Employé,,
GS,Groupe socioprofessionnel en 6 postes,6,Ouvrier,,
ILETUDLT,Indicateur du lieu d'études par rapport au lieu de travail,1,Dans la zone d'emploi,,
ILETUDLT,Indicateur du lieu d'études par rapport au lieu de travail,2,"Ailleurs, dans le (un) département de la zone d'emploi",,
ILETUDLT,Indicateur du lieu d'études par rapport au lieu de travail,3,"Ailleurs, dans la (une) région de la zone d'emploi",,
ILETUDLT,Indicateur du lieu d'études par rapport au lieu de travail,4,Dans une autre région: France métropolitaine,,
ILETUDLT,Indicateur du lieu d'études par rapport au lieu de travail,5,Dans une autre région: DOM (y compris Mayotte),,
ILETUDLT,Indicateur du lieu d'études par rapport au lieu de travail,6,Dans une autre région: COM,,
ILETUDLT,Indicateur du lieu d'études par rapport au lieu de travail,7,A l'étranger,,
ILETUDLT,Indicateur du lieu d'études par rapport au lieu de travail,Z,Sans objet (pas d'inscription dans un établissement d'enseignement),,
ILRLT,Indicateur du lieu de résidence par rapport au lieu de travail,1,Dans la zone d'emploi,,
